time,location_name,latitude,longitude,value,parameter,unit_of_measure
2023-01-01 18:00:00,Box Hill,-37.8287277,145.1324,5.916,PM2.5,ug/m3
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,36.332,O3,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,7.797,PM2.5,ug/m3
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,34.749,DBT,deg.C
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,15.726,PM10,ug/m3
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,0.199,SO2,ppb
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,38.776,O3,ppb
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,1.894,NO2,ppb
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,12.519,PM10,ug/m3
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,17.45,PM10,ug/m3
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,35.204,DBT,deg.C
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,1.969,NO2,ppb
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,2.374,NO2,ppb
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,37.936,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,17.45,PM10,ug/m3
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,15.774,BSP,1/Mm
2023-01-01 18:00:00,Brighton,-37.9135475,144.998,8.522,PM2.5,ug/m3
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,-1.943,SO2,ppb
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,21.854,PM10,ug/m3
2023-01-01 18:00:00,Point Cook,-37.9263153,144.7567,41.582,O3,ppb
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,42.335,O3,ppb
2023-01-14 06:00:00,Mooroolbark,-37.7749672,145.3285,15.577,PM10,ug/m3
2023-01-14 06:00:00,Altona North,-37.84455,144.8629,20.821,DBT,deg.C
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,55.83,BSP,1/Mm
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,10.423,PM2.5,ug/m3
2023-01-14 06:00:00,Point Cook,-37.9263153,144.7567,45.063,BSP,1/Mm
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,64.96,BSP,1/Mm
2023-01-14 06:00:00,Footscray,-37.803709,144.869342,20.169,DBT,deg.C
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,19.551,DBT,deg.C
2023-01-14 06:00:00,Footscray,-37.803709,144.869342,8.488,O3,ppb
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,9.238,NO2,ppb
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,19.372,DBT,deg.C
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,14.917,PM2.5,ug/m3
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,20.012,DBT,deg.C
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,78.704,BSP,1/Mm
2023-01-14 06:00:00,Mooroolbark,-37.7749672,145.3285,59.734,BSP,1/Mm
2023-01-14 06:00:00,Point Cook,-37.9263153,144.7567,20.857,DBT,deg.C
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,46.328,PM10,ug/m3
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,8.657,PM2.5,ug/m3
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,5.17,NO2,ppb
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,9.161,O3,ppb
2023-01-14 06:00:00,Footscray,-37.803709,144.869342,0.543,SO2,ppb
2023-01-14 06:00:00,Box Hill,-37.8287277,145.1324,13.267,PM2.5,ug/m3
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,10.142,O3,ppb
2023-01-14 06:00:00,Footscray,-37.803709,144.869342,10.78,PM2.5,ug/m3
2023-01-14 06:00:00,Mooroolbark,-37.7749672,145.3285,20.197,DBT,deg.C
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,25.996,PM10,ug/m3
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,0.013,SO2,ppb
2023-01-14 06:00:00,Mooroolbark,-37.7749672,145.3285,12.382,O3,ppb
2023-01-14 06:00:00,Altona North,-37.84455,144.8629,5.047,NO2,ppb
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,29.886,PM10,ug/m3
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,78.704,BSP,1/Mm
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,46.328,PM10,ug/m3
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,19.551,DBT,deg.C
2023-01-14 06:00:00,Footscray,-37.803709,144.869342,6.023,NO2,ppb
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,2.66,NO2,ppb
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,20.48,DBT,deg.C
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,46.328,PM10,ug/m3
2023-01-14 06:00:00,Alphington,-37.7784081,145.0306,57.046,BSP,1/Mm
2023-01-14 06:00:00,Brighton,-37.9135475,144.998,17.998,PM2.5,ug/m3
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,-0.46,SO2,ppb
2023-01-14 06:00:00,Brooklyn,-37.8220978,144.8471,78.704,BSP,1/Mm
2023-01-14 06:00:00,Altona North,-37.84455,144.8629,-0.635,SO2,ppb
2023-01-14 06:00:00,Geelong South,-38.17356,144.3703,29.056,PM10,ug/m3
2023-01-14 06:00:00,Point Cook,-37.9263153,144.7567,9.18,O3,ppb
2023-01-14 06:00:00,Dandenong,-37.98576,145.1987,4.218,O3,ppb
2023-01-14 12:00:00,Mooroolbark,-37.7749672,145.3285,19.577,PM10,ug/m3
2023-01-14 12:00:00,Altona North,-37.84455,144.8629,35.429,DBT,deg.C
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,30.534,BSP,1/Mm
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,15.612,PM2.5,ug/m3
2023-01-14 12:00:00,Point Cook,-37.9263153,144.7567,57.631,BSP,1/Mm
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,52.946,BSP,1/Mm
2023-01-14 12:00:00,Footscray,-37.803709,144.869342,33.618,DBT,deg.C
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,33.153,DBT,deg.C
2023-01-14 12:00:00,Footscray,-37.803709,144.869342,51.745,O3,ppb
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,4.156,NO2,ppb
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,30.329,DBT,deg.C
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,18.789,PM2.5,ug/m3
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,33.605,DBT,deg.C
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,32.31,BSP,1/Mm
2023-01-14 12:00:00,Mooroolbark,-37.7749672,145.3285,35.528,BSP,1/Mm
2023-01-14 12:00:00,Point Cook,-37.9263153,144.7567,29.106,DBT,deg.C
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,43.406,PM10,ug/m3
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,11.625,PM2.5,ug/m3
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,2.978,NO2,ppb
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,40.134,O3,ppb
2023-01-14 12:00:00,Footscray,-37.803709,144.869342,0.591,SO2,ppb
2023-01-14 12:00:00,Box Hill,-37.8287277,145.1324,7.01,PM2.5,ug/m3
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,48.67,O3,ppb
2023-01-14 12:00:00,Footscray,-37.803709,144.869342,19.46,PM2.5,ug/m3
2023-01-14 12:00:00,Mooroolbark,-37.7749672,145.3285,33.736,DBT,deg.C
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,27.84,PM10,ug/m3
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,0.233,SO2,ppb
2023-01-14 12:00:00,Mooroolbark,-37.7749672,145.3285,46.502,O3,ppb
2023-01-14 12:00:00,Altona North,-37.84455,144.8629,3.339,NO2,ppb
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,13.003,PM10,ug/m3
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,32.31,BSP,1/Mm
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,43.406,PM10,ug/m3
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,33.153,DBT,deg.C
2023-01-14 12:00:00,Footscray,-37.803709,144.869342,2.877,NO2,ppb
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,2.6,NO2,ppb
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,35.636,DBT,deg.C
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,43.406,PM10,ug/m3
2023-01-14 12:00:00,Alphington,-37.7784081,145.0306,28.577,BSP,1/Mm
2023-01-14 12:00:00,Brighton,-37.9135475,144.998,18.211,PM2.5,ug/m3
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,-0.052,SO2,ppb
2023-01-14 12:00:00,Brooklyn,-37.8220978,144.8471,32.31,BSP,1/Mm
2023-01-14 12:00:00,Altona North,-37.84455,144.8629,-0.417,SO2,ppb
2023-01-14 12:00:00,Geelong South,-38.17356,144.3703,34.194,PM10,ug/m3
2023-01-14 12:00:00,Point Cook,-37.9263153,144.7567,40.347,O3,ppb
2023-01-14 12:00:00,Dandenong,-37.98576,145.1987,45.641,O3,ppb
2023-01-14 18:00:00,Mooroolbark,-37.7749672,145.3285,23.611,PM10,ug/m3
2023-01-14 18:00:00,Altona North,-37.84455,144.8629,38.307,DBT,deg.C
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,16.304,BSP,1/Mm
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,6.679,PM2.5,ug/m3
2023-01-14 18:00:00,Point Cook,-37.9263153,144.7567,22.716,BSP,1/Mm
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,86.484,BSP,1/Mm
2023-01-14 18:00:00,Footscray,-37.803709,144.869342,37.63,DBT,deg.C
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,37.033,DBT,deg.C
2023-01-14 18:00:00,Footscray,-37.803709,144.869342,49.492,O3,ppb
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,3.744,NO2,ppb
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,26.311,DBT,deg.C
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,7.024,PM2.5,ug/m3
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,37.993,DBT,deg.C
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,19.042,BSP,1/Mm
2023-01-14 18:00:00,Mooroolbark,-37.7749672,145.3285,23.932,BSP,1/Mm
2023-01-14 18:00:00,Point Cook,-37.9263153,144.7567,37.77,DBT,deg.C
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,25.431,PM10,ug/m3
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,22.414,PM2.5,ug/m3
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,2.485,NO2,ppb
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,45.396,O3,ppb
2023-01-14 18:00:00,Footscray,-37.803709,144.869342,0.824,SO2,ppb
2023-01-14 18:00:00,Box Hill,-37.8287277,145.1324,2.934,PM2.5,ug/m3
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,50.098,O3,ppb
2023-01-14 18:00:00,Footscray,-37.803709,144.869342,6.687,PM2.5,ug/m3
2023-01-14 18:00:00,Mooroolbark,-37.7749672,145.3285,36.164,DBT,deg.C
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,17.069,PM10,ug/m3
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,0.686,SO2,ppb
2023-01-14 18:00:00,Mooroolbark,-37.7749672,145.3285,50.592,O3,ppb
2023-01-14 18:00:00,Altona North,-37.84455,144.8629,2.724,NO2,ppb
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,10.227,PM10,ug/m3
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,19.042,BSP,1/Mm
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,25.431,PM10,ug/m3
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,37.033,DBT,deg.C
2023-01-14 18:00:00,Footscray,-37.803709,144.869342,2.408,NO2,ppb
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,2.589,NO2,ppb
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,39.099,DBT,deg.C
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,25.431,PM10,ug/m3
2023-01-14 18:00:00,Alphington,-37.7784081,145.0306,16.153,BSP,1/Mm
2023-01-14 18:00:00,Brighton,-37.9135475,144.998,13.51,PM2.5,ug/m3
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,-0.579,SO2,ppb
2023-01-14 18:00:00,Brooklyn,-37.8220978,144.8471,19.042,BSP,1/Mm
2023-01-14 18:00:00,Altona North,-37.84455,144.8629,-0.138,SO2,ppb
2023-01-14 18:00:00,Geelong South,-38.17356,144.3703,66.987,PM10,ug/m3
2023-01-14 18:00:00,Point Cook,-37.9263153,144.7567,49.43,O3,ppb
2023-01-14 18:00:00,Dandenong,-37.98576,145.1987,50.395,O3,ppb
2023-01-27 06:00:00,Mooroolbark,-37.7749672,145.3285,8.696,PM10,ug/m3
2023-01-27 06:00:00,Altona North,-37.84455,144.8629,15.649,DBT,deg.C
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,16.018,BSP,1/Mm
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,6.011,PM2.5,ug/m3
2023-01-27 06:00:00,Point Cook,-37.9263153,144.7567,8.346,BSP,1/Mm
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,15.85,BSP,1/Mm
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,14.559,DBT,deg.C
2023-01-27 06:00:00,Footscray,-37.803709,144.869342,5.363,O3,ppb
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,15.32,NO2,ppb
2023-01-27 06:00:00,Melbourne CBD,-37.8073959,144.97,7.868,PM2.5,ug/m3
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,10.851,DBT,deg.C
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,3.826,PM2.5,ug/m3
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,12.423,DBT,deg.C
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,12.806,BSP,1/Mm
2023-01-27 06:00:00,Mooroolbark,-37.7749672,145.3285,16.193,BSP,1/Mm
2023-01-27 06:00:00,Point Cook,-37.9263153,144.7567,16.112,DBT,deg.C
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,8.424,PM2.5,ug/m3
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,17.76,PM10,ug/m3
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,11.832,NO2,ppb
2023-01-27 06:00:00,Geelong South,-38.17356,144.3703,0.198,O3,ppb
2023-01-27 06:00:00,Footscray,-37.803709,144.869342,8.12,PM2.5,ug/m3
2023-01-27 06:00:00,Footscray,-37.803709,144.869342,1.407,SO2,ppb
2023-01-27 06:00:00,Box Hill,-37.8287277,145.1324,7.025,PM2.5,ug/m3
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,3.079,O3,ppb
2023-01-27 06:00:00,Mooroolbark,-37.7749672,145.3285,9.257,DBT,deg.C
2023-01-27 06:00:00,Brighton,-37.9135475,144.998,5.67,PM2.5,ug/m3
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,16.372,PM10,ug/m3
2023-01-27 06:00:00,Alphington,-37.7784081,145.0306,0.407,SO2,ppb
2023-01-27 06:00:00,Mooroolbark,-37.7749672,145.3285,2.481,O3,ppb
2023-01-27 06:00:00,Altona North,-37.84455,144.8629,2.583,NO2,ppb
2023-01-27 06:00:00,Dandenong,-37.98576,145.1987,29.314,PM10,ug/m3
2023-01-27 06:00:00,Brooklyn,-37.8220978,144.8471,12.806,BSP,1/Mm
